config,cycles,marked_return,open_position
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",82,0.023658102,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY""}",6419,0.890371072,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 15, ""score"": ""FREQUENCY_MARGIN""}",6419,0.890371186,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",5518,0.727242,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",5518,0.727242,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",164,0.027583258,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",164,0.027583258,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",73,0.020901744,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",73,0.020901744,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY""}",5518,0.727242,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 30, ""score"": ""FREQUENCY_MARGIN""}",5514,0.726726234,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",4673,0.587238114,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",4673,0.587238114,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",301,0.059692856,True
"{""distances"": [2], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",301,0.059692856,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",72,0.020596887,True
"{""distances"": [3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",72,0.020596887,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY""}",4673,0.587238114,True
"{""distances"": [1, 2, 3], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 60, ""score"": ""FREQUENCY_MARGIN""}",6068,0.834548027,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY""}",6731,0.954376737,True
"{""distances"": [1], ""lookback_minutes"": 60, ""maker_rate_per_leg"": ""0"", ""operating_minutes"": 120, ""score"": ""FREQUENCY_MARGIN""}",6731,0.954376737,True
